Time,Direction
2023-01-15T12:00Z,34.75985383777417
2023-01-15T13:00Z,69.86898961427661
2023-01-15T14:00Z,131.28436539746485
2023-01-15T15:00Z,100.06329808566122
2023-01-15T16:00Z,195.17206472815593
2023-01-15T17:00Z,247.27078980524337
2023-01-15T18:00Z,67.86350257375274
2023-01-15T19:00Z,106.71279239431819
2023-01-15T20:00Z,61.43842797831873
2023-01-15T21:00Z,30.376561033008176
2023-01-15T22:00Z,37.685120513513375
2023-01-15T23:00Z,42.83076617444786
2023-01-16T00:00Z,32.1263082785671
2023-01-16T01:00Z,45.60081216540323
2023-01-16T02:00Z,53.90153513415621
2023-01-16T03:00Z,93.20452912647879
2023-01-16T04:00Z,123.13746705720372
2023-01-16T05:00Z,127.58971292625628
2023-01-16T06:00Z,180.25153093168467
2023-01-16T07:00Z,179.61847755443492
2023-01-16T08:00Z,199.26094731318443
2023-01-16T09:00Z,157.67328228445118
2023-01-16T10:00Z,276.9023145592616
2023-01-16T11:00Z,172.7934653471624
2023-01-16T12:00Z,251.76427726572098
2023-01-16T13:00Z,90.9795103924948
2023-01-16T14:00Z,206.2167452898155
2023-01-16T15:00Z,258.62923491279065
2023-01-16T16:00Z,238.08275531081804
2023-01-16T17:00Z,261.296297672114
2023-01-16T18:00Z,232.24140298475677
2023-01-16T19:00Z,60.931299825777366
2023-01-16T20:00Z,91.72334696571653
2023-01-16T21:00Z,72.81840715215993
2023-01-16T22:00Z,93.60619811459972
2023-01-16T23:00Z,79.30929304574659
2023-01-17T00:00Z,80.27709665771819
2023-01-17T01:00Z,110.79005236739371
2023-01-17T02:00Z,111.71575712755065
2023-01-17T03:00Z,118.9335448403004
2023-01-17T04:00Z,131.71554300744046
2023-01-17T05:00Z,170.3123371198733
2023-01-17T06:00Z,116.39773901555357
2023-01-17T07:00Z,130.2631418545133
2023-01-17T08:00Z,140.35644135810452
2023-01-17T09:00Z,154.11437002210818
2023-01-17T10:00Z,176.8321411930503
2023-01-17T11:00Z,303.2516910744405
2023-01-17T12:00Z,291.9128263821364
2023-01-17T13:00Z,275.21236576514383
2023-01-17T14:00Z,269.5683113930052
2023-01-17T15:00Z,278.6060951598981
2023-01-17T16:00Z,270.44989665735807
2023-01-17T17:00Z,269.78073894090113
2023-01-17T18:00Z,271.20866651268136
2023-01-17T19:00Z,266.48058520795365
2023-01-17T20:00Z,274.2960915925308
2023-01-17T21:00Z,293.82855036408944
2023-01-17T22:00Z,285.9931546430648
2023-01-17T23:00Z,283.9065011060851
2023-01-18T00:00Z,259.52596536580535
2023-01-18T01:00Z,297.49884390568974
2023-01-18T02:00Z,332.4350228092092
2023-01-18T03:00Z,235.1143306214835
2023-01-18T04:00Z,227.03662345599642
2023-01-18T05:00Z,194.66518514829073
2023-01-18T06:00Z,225.0704173778922
2023-01-18T07:00Z,221.11354575898795
2023-01-18T08:00Z,232.6238857388575
2023-01-18T09:00Z,232.74917607520337
2023-01-18T10:00Z,204.47129009998594
2023-01-18T11:00Z,214.65759365537266
2023-01-18T12:00Z,245.3618410106744
2023-01-18T13:00Z,232.52524311157765
2023-01-18T14:00Z,216.37459388263397
2023-01-18T15:00Z,234.26931749307332
2023-01-18T16:00Z,224.60351142415007
2023-01-18T17:00Z,227.42811555574295
2023-01-18T18:00Z,207.10961998936637
2023-01-18T19:00Z,166.34334093763118
2023-01-18T20:00Z,177.32212275954168
2023-01-18T21:00Z,177.47098908217944
2023-01-18T22:00Z,156.985017438043
2023-01-18T23:00Z,60.55987586080797
2023-01-19T00:00Z,66.53304826105351
2023-01-19T01:00Z,56.43350015339279
2023-01-19T02:00Z,90.5405197145955
2023-01-19T03:00Z,60.8502385449803
2023-01-19T04:00Z,88.2514234990707
2023-01-19T05:00Z,78.99240592639836
2023-01-19T06:00Z,150.75581261431788
2023-01-19T07:00Z,168.53448486927837
2023-01-19T08:00Z,175.92070542950725
2023-01-19T09:00Z,215.98419295661563
2023-01-19T10:00Z,195.22976545440156
2023-01-19T11:00Z,256.9334424866647
2023-01-19T12:00Z,321.30894188943273
2023-01-19T13:00Z,264.0097269849349
2023-01-19T14:00Z,309.25005635033875
2023-01-19T15:00Z,305.8969592050007
2023-01-19T16:00Z,193.68555974662243
2023-01-19T17:00Z,304.86306160715077
2023-01-19T18:00Z,240.19128877937214
2023-01-19T19:00Z,231.41972585436054
2023-01-19T20:00Z,183.66313527787085
2023-01-19T21:00Z,185.6503894516775
2023-01-19T22:00Z,252.13641316577093
2023-01-19T23:00Z,243.52192724568235
2023-01-20T00:00Z,214.7144296716455
2023-01-20T01:00Z,224.16786384444964
2023-01-20T02:00Z,244.86270393943218
2023-01-20T03:00Z,241.01039634588702
2023-01-20T04:00Z,243.15419075589955
2023-01-20T05:00Z,240.6277665309184
2023-01-20T06:00Z,239.5565196314708
2023-01-20T07:00Z,240.8039901237363
2023-01-20T08:00Z,239.14522012383185
2023-01-20T09:00Z,239.38769854129183
2023-01-20T10:00Z,235.1040928157906
2023-01-20T11:00Z,233.1398679957407
2023-01-20T12:00Z,218.49561326181856
2023-01-20T13:00Z,175.1894224491211
2023-01-20T14:00Z,177.78352335071656
2023-01-20T15:00Z,189.43024585776186
2023-01-20T16:00Z,271.71543933023577
2023-01-20T17:00Z,269.72686617825383
2023-01-20T18:00Z,275.453617147731
2023-01-20T19:00Z,245.54502313450854
2023-01-20T20:00Z,220.37335475059436
2023-01-20T21:00Z,232.1184122591261
2023-01-20T22:00Z,301.62477175585497
2023-01-20T23:00Z,176.99299808964656
2023-01-21T00:00Z,73.47812145125722
