Time,Speed
2023-01-16T01:00:00Z,6.07
2023-01-16T02:00:00Z,6.07
2023-01-16T03:00:00Z,5.84
2023-01-16T04:00:00Z,5.84
2023-01-16T05:00:00Z,5.80
2023-01-16T06:00:00Z,5.94
2023-01-16T07:00:00Z,5.86
2023-01-16T08:00:00Z,5.56
2023-01-16T09:00:00Z,5.14
2023-01-16T10:00:00Z,5.16
2023-01-16T11:00:00Z,5.37
2023-01-16T12:00:00Z,5.41
2023-01-16T13:00:00Z,5.55
2023-01-16T14:00:00Z,5.71
2023-01-16T15:00:00Z,5.59
2023-01-16T16:00:00Z,5.45
2023-01-16T17:00:00Z,5.20
2023-01-16T18:00:00Z,5.02
2023-01-16T19:00:00Z,5.06
2023-01-16T20:00:00Z,5.06
2023-01-16T21:00:00Z,5.18
2023-01-16T22:00:00Z,5.31
2023-01-16T23:00:00Z,5.34
2023-01-17T00:00:00Z,5.29
2023-01-17T01:00:00Z,5.33
2023-01-17T02:00:00Z,5.46
2023-01-17T03:00:00Z,5.38
2023-01-17T04:00:00Z,5.46
2023-01-17T05:00:00Z,5.69
2023-01-17T06:00:00Z,5.80
2023-01-17T07:00:00Z,5.60
2023-01-17T08:00:00Z,5.48
2023-01-17T09:00:00Z,5.59
2023-01-17T10:00:00Z,5.87
2023-01-17T11:00:00Z,6.49
2023-01-17T12:00:00Z,7.34
2023-01-17T13:00:00Z,7.86
2023-01-17T14:00:00Z,8.65
2023-01-17T15:00:00Z,8.88
2023-01-17T16:00:00Z,8.76
2023-01-17T17:00:00Z,8.46
2023-01-17T18:00:00Z,8.35
2023-01-17T19:00:00Z,8.40
2023-01-17T20:00:00Z,8.59
2023-01-17T21:00:00Z,8.69
2023-01-17T22:00:00Z,8.83
2023-01-17T23:00:00Z,8.98
2023-01-18T00:00:00Z,8.92
2023-01-18T01:00:00Z,8.74
2023-01-18T02:00:00Z,8.78
2023-01-18T03:00:00Z,9.04
2023-01-18T04:00:00Z,9.22
2023-01-18T05:00:00Z,9.58
2023-01-18T06:00:00Z,9.47
2023-01-18T07:00:00Z,10.06
2023-01-18T08:00:00Z,10.46
2023-01-18T09:00:00Z,10.44
2023-01-18T10:00:00Z,10.97
2023-01-18T11:00:00Z,11.46
2023-01-18T12:00:00Z,12.17
2023-01-18T13:00:00Z,12.43
2023-01-18T14:00:00Z,12.24
2023-01-18T15:00:00Z,11.80
2023-01-18T16:00:00Z,10.32
2023-01-18T17:00:00Z,8.83
2023-01-18T18:00:00Z,7.77
2023-01-18T19:00:00Z,7.12
2023-01-18T20:00:00Z,6.77
2023-01-18T21:00:00Z,6.50
2023-01-18T22:00:00Z,6.54
2023-01-18T23:00:00Z,6.57
2023-01-19T00:00:00Z,6.46
2023-01-19T01:00:00Z,5.98
2023-01-19T02:00:00Z,5.79
2023-01-19T03:00:00Z,5.45
2023-01-19T04:00:00Z,5.07
2023-01-19T05:00:00Z,4.71
2023-01-19T06:00:00Z,4.57
2023-01-19T07:00:00Z,4.11
2023-01-19T08:00:00Z,3.99
2023-01-19T09:00:00Z,3.86
2023-01-19T10:00:00Z,3.76
2023-01-19T11:00:00Z,3.73
2023-01-19T12:00:00Z,3.83
2023-01-19T13:00:00Z,4.06
2023-01-19T14:00:00Z,4.33
2023-01-19T15:00:00Z,4.40
2023-01-19T16:00:00Z,4.29
2023-01-19T17:00:00Z,4.02
2023-01-19T18:00:00Z,3.95
2023-01-19T19:00:00Z,4.08
2023-01-19T20:00:00Z,4.28
2023-01-19T21:00:00Z,4.51
2023-01-19T22:00:00Z,4.71
2023-01-19T23:00:00Z,4.79
2023-01-20T00:00:00Z,4.59
2023-01-20T01:00:00Z,4.63
2023-01-20T02:00:00Z,4.69
2023-01-20T03:00:00Z,4.82
2023-01-20T04:00:00Z,4.99
2023-01-20T05:00:00Z,5.24
2023-01-20T06:00:00Z,5.46
2023-01-20T07:00:00Z,5.34
2023-01-20T08:00:00Z,5.51
2023-01-20T09:00:00Z,5.59
2023-01-20T10:00:00Z,5.87
2023-01-20T11:00:00Z,5.99
2023-01-20T12:00:00Z,6.15
2023-01-20T13:00:00Z,6.18
2023-01-20T14:00:00Z,6.10
2023-01-20T15:00:00Z,6.04
2023-01-20T16:00:00Z,5.76
2023-01-20T17:00:00Z,5.58
2023-01-20T18:00:00Z,5.47
2023-01-20T19:00:00Z,5.48
2023-01-20T20:00:00Z,5.36
2023-01-20T21:00:00Z,5.34
2023-01-20T22:00:00Z,5.40
2023-01-20T23:00:00Z,5.36
2023-01-21T00:00:00Z,5.50
2023-01-21T01:00:00Z,5.65
2023-01-21T02:00:00Z,5.98
2023-01-21T03:00:00Z,6.31
2023-01-21T04:00:00Z,6.39
2023-01-21T05:00:00Z,6.53
2023-01-21T06:00:00Z,6.53
2023-01-21T07:00:00Z,6.93
2023-01-21T08:00:00Z,7.12
2023-01-21T09:00:00Z,7.22
2023-01-21T10:00:00Z,7.51
2023-01-21T11:00:00Z,8.24
2023-01-21T12:00:00Z,8.90
2023-01-21T13:00:00Z,9.42
2023-01-21T14:00:00Z,9.63
2023-01-21T15:00:00Z,9.97
2023-01-21T16:00:00Z,9.87
2023-01-21T17:00:00Z,9.67
2023-01-21T18:00:00Z,9.58
2023-01-21T19:00:00Z,9.49
2023-01-21T20:00:00Z,9.47
2023-01-21T21:00:00Z,9.45
2023-01-21T22:00:00Z,9.67
2023-01-21T23:00:00Z,9.88
2023-01-22T00:00:00Z,10.19
2023-01-22T01:00:00Z,9.90
2023-01-22T02:00:00Z,10.26
2023-01-22T03:00:00Z,10.39
2023-01-22T04:00:00Z,10.77
2023-01-22T05:00:00Z,11.01
2023-01-22T06:00:00Z,11.17
2023-01-22T07:00:00Z,10.84
2023-01-22T08:00:00Z,10.58
2023-01-22T09:00:00Z,10.17
2023-01-22T10:00:00Z,9.88
2023-01-22T11:00:00Z,9.71
2023-01-22T12:00:00Z,9.37
2023-01-22T13:00:00Z,8.56
2023-01-22T14:00:00Z,7.92
2023-01-22T15:00:00Z,7.07
2023-01-22T16:00:00Z,6.31
2023-01-22T17:00:00Z,5.59
2023-01-22T18:00:00Z,5.13
2023-01-22T19:00:00Z,4.80
2023-01-22T20:00:00Z,4.58
2023-01-22T21:00:00Z,4.46
2023-01-22T22:00:00Z,4.35
2023-01-22T23:00:00Z,4.60
2023-01-23T00:00:00Z,4.37
2023-01-23T01:00:00Z,4.33
2023-01-23T02:00:00Z,4.46
2023-01-23T03:00:00Z,4.39
2023-01-23T04:00:00Z,4.53
2023-01-23T05:00:00Z,4.57
2023-01-23T06:00:00Z,4.50
2023-01-23T07:00:00Z,4.21
2023-01-23T08:00:00Z,4.08
2023-01-23T09:00:00Z,4.06
2023-01-23T10:00:00Z,4.09
2023-01-23T11:00:00Z,4.03
2023-01-23T12:00:00Z,4.24
2023-01-23T13:00:00Z,4.59
2023-01-23T14:00:00Z,4.79
2023-01-23T15:00:00Z,4.78
2023-01-23T16:00:00Z,4.52
2023-01-23T17:00:00Z,4.21
2023-01-23T18:00:00Z,4.30
2023-01-23T19:00:00Z,4.18
2023-01-23T20:00:00Z,4.19
2023-01-23T21:00:00Z,4.17
2023-01-23T22:00:00Z,4.09
2023-01-23T23:00:00Z,4.27
2023-01-24T00:00:00Z,4.44
2023-01-24T01:00:00Z,4.36
2023-01-24T02:00:00Z,4.60
2023-01-24T03:00:00Z,4.48
2023-01-24T04:00:00Z,4.50
2023-01-24T05:00:00Z,4.51
2023-01-24T06:00:00Z,4.55
2023-01-24T07:00:00Z,4.55
2023-01-24T08:00:00Z,4.76
2023-01-24T09:00:00Z,4.90
2023-01-24T10:00:00Z,5.13
2023-01-24T11:00:00Z,5.40
2023-01-24T12:00:00Z,5.88
2023-01-24T13:00:00Z,6.11
2023-01-24T14:00:00Z,6.12
2023-01-24T15:00:00Z,5.88
2023-01-24T16:00:00Z,5.67
2023-01-24T17:00:00Z,5.43
2023-01-24T18:00:00Z,5.23
2023-01-24T19:00:00Z,5.28
2023-01-24T20:00:00Z,5.45
2023-01-24T21:00:00Z,5.57
2023-01-24T22:00:00Z,5.73
2023-01-24T23:00:00Z,5.86
2023-01-25T00:00:00Z,5.95
2023-01-25T01:00:00Z,6.01
2023-01-25T02:00:00Z,6.15
2023-01-25T03:00:00Z,6.36
2023-01-25T04:00:00Z,6.65
2023-01-25T05:00:00Z,6.77
2023-01-25T06:00:00Z,6.83
2023-01-25T07:00:00Z,6.96
2023-01-25T08:00:00Z,7.30
2023-01-25T09:00:00Z,7.32
2023-01-25T10:00:00Z,7.67
2023-01-25T11:00:00Z,8.05
2023-01-25T12:00:00Z,8.46
2023-01-25T13:00:00Z,8.71
2023-01-25T14:00:00Z,9.06
2023-01-25T15:00:00Z,8.73
2023-01-25T16:00:00Z,8.24
2023-01-25T17:00:00Z,7.01
2023-01-25T18:00:00Z,6.06
2023-01-25T19:00:00Z,5.78
2023-01-25T20:00:00Z,5.91
2023-01-25T21:00:00Z,5.87
2023-01-25T22:00:00Z,5.67
2023-01-25T23:00:00Z,5.52
2023-01-26T00:00:00Z,5.62
2023-01-26T01:00:00Z,5.66
2023-01-26T02:00:00Z,5.65
2023-01-26T03:00:00Z,5.49
2023-01-26T04:00:00Z,5.41
2023-01-26T05:00:00Z,5.48
2023-01-26T06:00:00Z,5.37
2023-01-26T07:00:00Z,5.35
2023-01-26T08:00:00Z,5.47
2023-01-26T09:00:00Z,5.21
2023-01-26T10:00:00Z,4.94
2023-01-26T11:00:00Z,5.28
2023-01-26T12:00:00Z,6.01
2023-01-26T13:00:00Z,6.60
2023-01-26T14:00:00Z,7.06
2023-01-26T15:00:00Z,6.90
2023-01-26T16:00:00Z,5.46
2023-01-26T17:00:00Z,4.29
2023-01-26T18:00:00Z,3.87
